	chr	start	end	value	area	cluster	indexStart	indexEnd	L	clusterL	name	annotation	description	region	distance	subregion	insideDistance	exonnumber	nexons	UTR	strand	geneL	codingL	Geneid	subjectHits
8725	chr5	3606081	3606081	-0.06732553	0.06732553	150328	130119	130119	1	12	IRX1	NM_024337 NP_077313 XM_017009845 XP_016865334	downstream	downstream	9913	NA	NA	NA	4	NA	+	5349	NA	79192	60298
615	chr15	73263471	73263471	0.067323451	0.067323451	68947	363336	363336	1	1	NEO1	NM_001172623 NM_001172624 NM_002499 NP_001166094 NP_001166095 NP_002490 XM_005254408 XM_011521628 XM_011521629 XM_011521630 XM_011521632 XM_011521633 XM_017022231 XM_017022232 XM_017022233 XM_017022234 XM_017022235 XM_017022236 XM_017022237 XM_017022238 XP_005254465 XP_011519930 XP_011519931 XP_011519932 XP_011519934 XP_011519935 XP_016877720 XP_016877721 XP_016877722 XP_016877723 XP_016877724 XP_016877725 XP_016877726 XP_016877727	upstream	upstream	81354	NA	NA	NA	28	NA	+	252722	NA	4756	37377
4944	chr14	102551385	102551385	-0.067320875	0.067320875	63683	351627	351627	1	1	HSP90AA1	NM_001017963 NM_005348 NP_001017963 NP_005339 XM_011536718 XP_011535020	inside intron	inside	1372	inside intron	-49	4	8	inside transcription region	-	3386	NA	3320	30015
3730	chr11	113049176	113049176	-0.067313915	0.067313915	40098	297178	297178	1	1	NCAM1	NM_000615 NM_001076682 NM_001242607 NM_001242608 NM_181351 NP_000606 NP_001070150 NP_001229536 NP_001229537 NP_851996	inside intron	inside	217207	inside intron	23924	2	20	inside transcription region	+	317189	NA	4684	37129
4654	chr13	113099903	113099903	-0.067304687	0.067304687	57477	337042	337042	1	1	SPACA7	NM_145248 NP_660291 XM_011537466 XM_011537467 XM_011537468 XM_011537471 XM_011537472 XM_017020391 XM_017020392 XP_011535768 XP_011535769 XP_011535770 XP_011535773 XP_011535774 XP_016875880 XP_016875881	downstream	downstream	69252	NA	NA	NA	7	NA	+	58358	NA	122258	9288
11994	chrX	144713307	144713307	-0.067303698	0.067303698	204087	483537	483537	1	5	SLITRK2	NM_001144003 NM_001144004 NM_001144005 NM_001144006 NM_001144007 NM_001144008 NM_001144009 NM_001144010 NM_032539 NP_001137475 NP_001137476 NP_001137477 NP_001137478 NP_001137480 NP_001137481 NP_001137482 NP_115928 XM_005262342 XM_005262343 XM_005262344 XM_005262345 XP_005262399 XP_005262400 XP_005262401 XP_005262402	upstream	upstream	186040	NA	NA	NA	5	NA	+	8013	NA	84631	65754
1571	chr8	8153650	8153650	0.067299602	0.067299602	185987	220652	220652	1	1	PRAG1	NM_001080826 NP_001074295 XM_005272369 XM_005272370 XM_011543813 XP_005272426 XP_005272427 XP_011542115	downstream	downstream	85607	NA	NA	NA	5	NA	-	63999	NA	157285	13730
11893	chrX	53111239	53111239	-0.067296595	0.067296595	202102	477875	477875	1	12	TSPYL2	NM_022117 NP_071400 XM_006724592 XM_017029726 XM_017029727 XP_006724655 XP_016885215 XP_016885216 XR_001755719	promoter	promoter	303	NA	NA	NA	7	NA	+	6186	NA	64061	52122
1845	chr1	4715615	4715615	-0.067295164	0.067295164	1501	4620	4620	1	11	AJAP1	NM_001042478 NM_018836 NP_001035943 NP_061324 XM_011541786 XM_011541787 XP_011540088 XP_011540089	inside intron	inside	510	inside intron	-100	1	6	inside transcription region	+	128746	NA	55966	46485
5709	chr17	12697550	12697550	-0.067292215	0.067292215	82617	396984	396984	1	1	ARHGAP44	NM_001321164 NM_001321166 NM_001321167 NM_001321168 NM_014859 NP_001308093 NP_001308095 NP_001308096 NP_001308097 NP_055674 NR_135569 XM_005256891 XP_005256948	inside intron	inside	4721	inside intron	-4341	1	18	inside transcription region	+	202131	NA	9912	73124
7848	chr3	100328186	100328186	-0.067284567	0.067284567	134049	93969	93969	1	5	ADGRG7	NM_001308362 NM_032787 NP_001295291 NP_116176 XM_011513245 XP_011511547	promoter	promoter	247	NA	NA	NA	16	NA	+	85890	NA	84873	66234
7036	chr2	177034761	177034761	-0.067280636	0.067280636	114093	70767	70767	1	1	HOXD3	NM_006898 NP_008829 XM_005246509 XM_005246510 XM_005246511 XM_005246513 XM_006712477 XM_011511065 XM_011511066 XP_005246566 XP_005246567 XP_005246568 XP_005246570 XP_006712540 XP_011509367 XP_011509368	inside intron	inside	5956	inside intron	-377	2	3	inside transcription region	+	9021	NA	3232	29799
10533	chr7	155867845	155867845	-0.067279965	0.067279965	184215	215865	215865	1	5	SHH	NM_000193 NM_001310462 NP_000184 NP_001297391 NR_132318 NR_132319 XM_011516479 XM_011516480 XP_011514781 XP_011514782	upstream	upstream	262878	NA	NA	NA	3	NA	-	9409	NA	6469	53305
11488	chr8	133209474	133209474	-0.067279268	0.067279268	192962	234837	234837	1	1	KCNQ3	NM_001204824 NM_004519 NP_001191753 NP_004510 XM_005250914 XM_006716555 XM_011517026 XM_017013400 XP_005250971 XP_006716618 XP_011515328 XP_016868889	inside intron	inside	283530	inside intron	-11045	2	15	inside transcription region	-	359899	NA	3786	32368
4053	chr12	102848839	102848839	-0.06727577	0.06727577	49143	317485	317485	1	1	IGF1	NM_000618 NM_001111283 NM_001111284 NM_001111285 NP_000609 NP_001104753 NP_001104754 NP_001104755 XM_017019259 XM_017019260 XM_017019261 XM_017019262 XM_017019263 XP_016874748 XP_016874749 XP_016874750 XP_016874751 XP_016874752	inside intron	inside	25539	inside intron	20581	2	4	inside transcription region	-	62924	NA	3479	31010
11365	chr8	79719015	79719015	-0.067274034	0.067274034	190269	229780	229780	1	1	IL7	NM_000880 NM_001199886 NM_001199887 NM_001199888 NP_000871 NP_001186815 NP_001186816 NP_001186817 XM_011517522 XM_011517523 XM_017013397 XP_011515824 XP_011515825 XP_016868886	promoter	promoter	1257	NA	NA	NA	7	NA	-	72470	NA	3574	31366
12021	chrX	152987922	152987922	-0.067272206	0.067272206	204423	484373	484373	1	1	BCAP31	NM_001139441 NM_001139457 NM_001256447 NM_005745 NP_001132913 NP_001132929 NP_001243376 NP_005736	inside intron	inside	2279	inside intron	685	2	8	inside transcription region	-	24254	NA	10134	3722
5039	chr15	25936577	25936577	-0.067268317	0.067268317	65069	355109	355109	1	1	ATP10A	NM_024490 NP_077816 XM_005268261 XM_011521826 XM_011521828 XM_011521829 XM_011521830 XM_017022436 XM_017022437 XP_005268318 XP_011520128 XP_011520130 XP_011520131 XP_011520132 XP_016877925 XP_016877926 XR_001751366 XR_001751367 XR_001751368	inside intron	inside	171772	inside intron	284	15	21	inside transcription region	-	184489	NA	57194	48146
1374	chr6	17033543	17033543	0.067267904	0.067267904	162014	155105	155105	1	1	STMND1	NM_001190766 NP_001177695	upstream	upstream	68946	NA	NA	NA	5	NA	+	29114	NA	401236	34087
10942	chr8	3316893	3316893	-0.067265008	0.067265008	185714	220151	220151	1	2	CSMD1	NM_033225 NP_150094 XM_011534752 XM_011534753 XM_011534754 XM_017013731 XP_011533054 XP_011533055 XP_011533056 XP_016869220	inside intron	inside	1535435	inside intron	9340	12	70	inside transcription region	-	2059453	NA	64478	52988
7939	chr3	130158438	130158438	-0.067259427	0.067259427	136068	98082	98082	1	3	COL6A5	NM_001278298 NM_153264 NP_001265227 NP_694996 NR_022012 XM_011512621 XM_011512622 XM_011512623 XP_011510923 XP_011510924 XP_011510925	inside exon	inside	94079	inside exon	0	34	41	inside transcription region	+	139331	NA	256076	22511
5736	chr17	25309058	25309058	-0.067247741	0.067247741	83674	399358	399358	1	7	MIR4522	NR_039748	downstream	downstream	311964	NA	NA	NA	1	NA	-	86	NA	100616277	2899
11160	chr8	28174847	28174847	-0.067239423	0.067239423	187684	224269	224269	1	12	PNOC	NM_001284244 NM_006228 NP_001271173 NP_006219 XM_005273532 XM_011544559 XM_017013578 XP_005273589 XP_011542861 XP_016869067	inside intron	inside	198	inside intron	-13	1	4	5' UTR	+	26219	NA	5368	41624
6476	chr19	51535405	51535405	-0.067239031	0.067239031	101404	446673	446673	1	4	KLK12	NM_019598 NM_145894 NM_145895 NP_062544 NP_665901 NP_665902 XM_005258950 XM_005258951 XP_005259007 XP_005259008	inside intron	inside	2743	inside intron	-1227	4	5	inside transcription region	-	5800	NA	43849	35992
5294	chr15	102345981	102345981	-0.067234092	0.067234092	71681	369381	369381	1	3	OR4F6	NM_001005326 NP_001005326	inside exon	inside	58	inside exon	0	1	1	inside transcription region	+	938	NA	390648	33335
6309	chr19	15904416	15904416	-0.067230895	0.067230895	97128	434970	434970	1	1	OR10H5	NM_001004466 NP_001004466	promoter	promoter	443	NA	NA	NA	1	NA	+	947	NA	284433	26600
4538	chr13	110319562	110319562	-0.067223165	0.067223165	56953	335649	335649	1	3	IRS2	NM_003749 NP_003740	downstream	downstream	119352	NA	NA	NA	2	NA	-	32730	NA	8660	67432
9173	chr6	466893	466893	-0.067219276	0.067219276	160370	151746	151746	1	7	EXOC2	NM_018303 NP_060773 NR_073064 XM_017011018 XM_017011019 XM_017011020 XM_017011021 XM_017011022 XM_017011023 XM_017011024 XM_017011025 XM_017011026 XP_016866507 XP_016866508 XP_016866509 XP_016866510 XP_016866511 XP_016866512 XP_016866513 XP_016866514 XP_016866515	downstream	downstream	226248	NA	NA	NA	18	NA	-	208003	NA	55770	45931
779	chr17	76425249	76425249	0.067219037	0.067219037	89677	414428	414428	1	6	DNAH17	NM_003727 NM_173628 NP_775899 XM_011525416 XM_017025261 XP_011523718 XP_016880750	inside exon	inside	148227	inside exon	0	76	81	inside transcription region	-	153698	NA	8632	67334
4638	chr13	112838528	112838528	-0.067218824	0.067218824	57425	336867	336867	1	11	SOX1	NM_005986 NP_005977	downstream	downstream	116615	NA	NA	NA	1	NA	+	4107	NA	6656	55052
9256	chr6	13274151	13274151	-0.067213023	0.067213023	161608	154434	154434	1	5	TBC1D7	NM_001143964 NM_001143965 NM_001143966 NM_001258457 NM_001318805 NM_001318806 NM_016495 NP_001137436 NP_001137437 NP_001137438 NP_001245386 NP_001305734 NP_001305735 NP_057579	inside intron	inside	54636	inside intron	-6083	9	9	3'UTR	-	62013	NA	51256	39570
5697	chr17	11556567	11556567	-0.067209869	0.067209869	82540	396848	396848	1	2	DNAH9	NM_001372 NM_004662 NP_001363 NP_004653 XM_011523703 XM_017024292 XM_017024293 XM_017024294 XM_017024295 XP_011522005 XP_016879781 XP_016879782 XP_016879783 XP_016879784	inside intron	inside	2181	inside intron	-247	2	56	inside transcription region	+	318679	NA	1770	15545
5473	chr16	51174177	51174177	-0.067207697	0.067207697	76309	380945	380945	1	3	SALL1	NM_001127892 NM_002968 NP_001121364 NP_002959 XM_006721241 XM_011523254 XP_006721304 XP_011521556	inside exon	inside	11006	inside exon	0	2	3	inside transcription region	-	14160	NA	6299	51600
3955	chr12	20009446	20009446	-0.06720148	0.06720148	44294	306455	306455	1	1	LINC02398	NR_040098	upstream	upstream	158173	NA	NA	NA	3	NA	+	84183	NA	100506393	2051
11264	chr8	53477881	53477881	-0.067198514	0.067198514	189081	227159	227159	1	13	ALKAL1	NM_207413 NP_997296	inside exon	inside	140	inside exon	0	1	4	5' UTR	-	31424	NA	389658	33148
9302	chr6	27344393	27344393	-0.067195863	0.067195863	162781	157021	157021	1	1	ZNF204P	NR_002722 NR_024553	promoter	promoter	1240	NA	NA	NA	5	NA	-	17551	NA	7754	59314
4867	chr14	93653027	93653027	-0.067190032	0.067190032	62655	349143	349143	1	2	TMEM251	NM_001098621 NM_015676 NP_001092091 NP_056491	inside exon	inside	1652	inside exon	0	2	2	3'UTR	+	2056	NA	26175	24019
6967	chr2	127727905	127727905	-0.067187821	0.067187821	111326	65134	65134	1	1	BIN1	NM_001320632 NM_001320633 NM_001320634 NM_001320640 NM_001320641 NM_001320642 NM_004305 NM_139343 NM_139344 NM_139345 NM_139346 NM_139347 NM_139348 NM_139349 NM_139350 NM_139351 NP_001307561 NP_001307562 NP_001307563 NP_001307569 NP_001307570 NP_001307571 NP_004296 NP_647593 NP_647594 NP_647595 NP_647596 NP_647597 NP_647598 NP_647599 NP_647600 NP_647601 XM_005263642 XM_005263643 XM_005263645 XM_006712425 XM_006712426 XM_006712427 XM_006712428 XM_006712429 XM_006712431 XM_006712432 XM_006712433 XM_006712434 XM_011510975 XM_017003819 XM_017003820 XM_017003821 XM_017003822 XM_017003823 XM_017003824 XM_017003825 XM_017003826 XM_017003827 XM_017003828 XP_005263699 XP_005263700 XP_005263702 XP_006712488 XP_006712489 XP_006712490 XP_006712491 XP_006712492 XP_006712494 XP_006712495 XP_006712496 XP_006712497 XP_011509277 XP_016859308 XP_016859309 XP_016859310 XP_016859311 XP_016859312 XP_016859313 XP_016859314 XP_016859315 XP_016859316 XP_016859317	downstream	downstream	136998	NA	NA	NA	15	NA	-	59304	NA	274	25612
4913	chr14	101498343	101498343	-0.067186663	0.067186663	63526	351105	351105	1	9	MIR543	NR_030619	inside exon	inside	19	inside exon	0	1	1	inside transcription region	+	77	NA	100126335	250
4858	chr14	88787370	88787370	-0.06717295	0.06717295	62142	348081	348081	1	1	KCNK10	NM_021161 NM_138317 NM_138318 NP_066984 NP_612190 NP_612191 XM_011536840 XP_011535142	inside intron	inside	5886	inside intron	5392	1	7	inside transcription region	-	146804	NA	54207	41974
480	chr12	112559822	112559822	0.067172415	0.067172415	50036	319557	319557	1	1	TRAFD1	NM_001143906 NM_006700 NP_001137378 NP_006691	upstream	upstream	3527	NA	NA	NA	12	NA	+	28059	NA	10906	6303
8500	chr5	95610	95610	-0.067166688	0.067166688	149453	127329	127329	1	2	PLEKHG4B	NM_052909 NP_443141 XM_006714446 XM_011513968 XM_011513969 XM_011513970 XM_011513971 XM_011513972 XM_011513973 XM_017009112 XP_006714509 XP_011512270 XP_011512271 XP_011512272 XP_011512273 XP_011512274 XP_011512275 XP_016864601 XR_001742015	upstream	upstream	44763	NA	NA	NA	18	NA	+	49714	NA	153478	13466
1289	chr5	1162588	1162588	0.067165979	0.067165979	149833	128517	128517	1	3	SLC6A19	NM_001003841 NP_001003841	upstream	upstream	39122	NA	NA	NA	12	NA	+	23520	NA	340024	30458
3255	chr10	134716879	134716879	-0.067156117	0.067156117	30405	272248	272248	1	1	CFAP46	NM_001200049 NM_017609 NM_173572 NP_001186978	inside intron	inside	13307	inside intron	-3708	7	8	inside transcription region	-	18165	NA	54777	42768
636	chr16	2132315	2132315	0.067153474	0.067153474	72607	372533	372533	1	7	TSC2	NM_000548 NM_001077183 NM_001114382 NM_001318827 NM_001318829 NM_001318831 NM_001318832 NM_021055 NM_021056 NP_000539 NP_001070651 NP_001107854 NP_001305756 NP_001305758 NP_001305760 NP_001305761 XM_005255529 XM_005255531 XM_011522636 XM_011522637 XM_011522638 XM_011522639 XM_011522640 XM_017023615 XM_017023616 XM_017023617 XM_017023618 XP_005255586 XP_005255588 XP_011520938 XP_011520939 XP_011520940 XP_011520941 XP_011520942 XP_016879104 XP_016879105 XP_016879106 XP_016879107	inside intron	inside	34325	inside intron	-515	29	39	inside transcription region	+	40723	NA	7249	57298
2934	chr10	101292766	101292766	-0.067132217	0.067132217	27239	264054	264054	1	13	NKX2-3	NM_145285 NP_660328 XM_011539370 XP_011537672	inside exon	inside	76	inside exon	0	1	2	5' UTR	+	3590	NA	159296	14057
1414	chr6	35693573	35693573	0.067131594	0.067131594	164548	170915	170915	1	1	FKBP5	NM_001145775 NM_001145776 NM_001145777 NM_004117 NP_001139247 NP_001139248 NP_001139249 NP_004108	inside intron	inside	2824	inside intron	2711	1	12	5' UTR	-	155035	NA	2289	18918
1819	chr1	3567738	3567738	-0.067128897	0.067128897	1346	4169	4169	1	49	WRAP73	NM_017818 NP_060288 XM_005244754 XM_017001387 XP_005244811 XP_016856876 XR_946661	promoter	promoter	1067	NA	NA	NA	5	NA	-	18210	NA	49856	38239
8947	chr5	136320310	136320310	-0.067122817	0.067122817	156286	142258	142258	1	1	SPOCK1	NM_004598 NP_004589	inside intron	inside	514708	inside intron	518	9	11	inside transcription region	-	524031	NA	6695	55155
10672	chr7	157666168	157666168	-0.067121044	0.067121044	184631	217189	217189	1	2	PTPRN2	NM_001308267 NM_001308268 NM_002847 NM_130842 NM_130843 NP_001295196 NP_001295197 NP_002838 NP_570857 NP_570858 XM_011516446 XM_011516447 XM_011516448 XM_011516449 XM_017012475 XM_017012476 XP_011514748 XP_011514749 XP_011514750 XP_011514751 XP_016867964 XP_016867965	inside intron	inside	714314	inside intron	25196	11	22	inside transcription region	-	1048732	NA	5799	49621
7499	chr21	45978747	45978747	-0.067117619	0.067117619	124234	464316	464316	1	4	TSPEAR	NM_001272037 NM_144991 NP_001258966 NP_659428	inside intron	inside	152748	inside intron	8921	3	13	inside transcription region	-	213720	NA	54084	41898
881	chr19	57183016	57183016	0.067117404	0.067117404	102441	449503	449503	1	4	ZNF835	NM_001005850 NP_001005850 XM_005259382 XM_005259383 XP_005259439 XP_005259440	inside exon	inside	107	inside exon	0	1	2	5' UTR	-	9103	NA	90485	68983
9685	chr6	152958864	152958864	-0.06711717	0.06711717	170541	183633	183633	1	18	SYNE1	NM_001099267 NM_001134379 NM_001347701 NM_001347702 NM_015293 NM_033071 NM_133650 NM_182961 NP_001334630 NP_001334631 NP_149062 NP_892006 XM_006715407 XM_006715408 XM_006715409 XM_006715410 XM_006715411 XM_006715412 XM_006715413 XM_006715414 XM_006715415 XM_006715416 XM_006715417 XM_006715420 XM_006715421 XM_006715422 XM_006715423 XM_006715424 XM_006715425 XM_011535641 XM_011535642 XM_011535643 XM_011535644 XM_011535645 XM_017010608 XM_017010609 XM_017010610 XM_017010611 XM_017010612 XM_017010613 XM_017010614 XM_017010615 XM_017010616 XM_017010617 XM_017010618 XM_017010619 XP_006715470 XP_006715471 XP_006715472 XP_006715473 XP_006715474 XP_006715475 XP_006715476 XP_006715477 XP_006715478 XP_006715479 XP_006715480 XP_006715483 XP_006715484 XP_006715485 XP_006715486 XP_006715487 XP_006715488 XP_011533943 XP_011533944 XP_011533945 XP_011533946 XP_011533947 XP_016866097 XP_016866098 XP_016866099 XP_016866100 XP_016866101 XP_016866102 XP_016866103 XP_016866104 XP_016866105 XP_016866106 XP_016866107 XP_016866108 XR_001743287	promoter	promoter	330	NA	NA	NA	16	NA	-	159483	NA	23345	20637
247	chr10	22624374	22624374	0.067110221	0.067110221	22192	253593	253593	1	21	BMI1	NM_005180 NP_005171	downstream	downstream	14235	NA	NA	NA	10	NA	+	10275	NA	648	53571
10246	chr7	49710144	49710144	-0.067096981	0.067096981	177012	199801	199801	1	3	VWC2	NM_198570 NP_940972 NR_136188 XR_001744720 XR_001744721 XR_001744723	upstream	upstream	103113	NA	NA	NA	4	NA	+	138881	NA	375567	32192
631	chr16	801549	801549	0.067095966	0.067095966	71987	370366	370366	1	4	MSLN	NM_001177355 NM_005823 NM_013404 NP_001170826 NP_005814 NP_037536 XM_005255034 XM_011522348 XM_017022853 XM_017022854 XM_017022855 XM_017022856 XM_017022857 XM_017022858 XP_005255091 XP_011520650 XP_016878342 XP_016878343 XP_016878344 XP_016878345 XP_016878346 XP_016878347	upstream	upstream	9216	NA	NA	NA	18	NA	+	8100	NA	10232	4108
2564	chr10	1828900	1828900	-0.067092371	0.067092371	20746	250334	250334	1	2	ADARB2	NM_018702 NP_061172	upstream	upstream	49230	NA	NA	NA	10	NA	-	556417	NA	105	5051
8515	chr5	508185	508185	-0.067085033	0.067085033	149611	127798	127798	1	4	SLC9A3	NM_001284351 NM_004174 NP_001271280 NP_004165	inside intron	inside	16364	inside intron	-15998	2	17	inside transcription region	-	51215	NA	6550	54546
757	chr17	55434640	55434640	0.067083099	0.067083099	87387	408945	408945	1	1	MSI2	NM_001322250 NM_001322251 NM_138962 NM_170721 NP_001309179 NP_001309180 NP_620412 NP_733839 XM_005257014 XM_005257015 XM_011524286 XM_011524287 XM_017024147 XM_017024148 XM_017024149 XP_005257071 XP_005257072 XP_011522588 XP_011522589 XP_016879636 XP_016879637 XP_016879638	inside intron	inside	100266	inside intron	44099	5	10	inside transcription region	+	376170	NA	124540	9572
6613	chr2	558220	558220	-0.067078345	0.067078345	102895	47124	47124	1	6	TMEM18	NM_001352680 NM_001352681 NM_152834 NP_001339609 NP_001339610 NP_690047	downstream	downstream	119219	NA	NA	NA	5	NA	-	9466	NA	129787	10342
319	chr11	3181928	3181928	0.067070269	0.067070269	31751	277211	277211	1	6	OSBPL5	NM_001144063 NM_020896 NM_145638 NP_001137535 NP_065947 NP_663613 XM_011519873 XM_017017163 XM_017017164 XP_011518175 XP_016872652 XP_016872653	inside intron	inside	6041	inside intron	5926	1	17	inside transcription region	-	73354	NA	114879	8239
6480	chr19	51914322	51914322	-0.067066203	0.067066203	101476	446849	446849	1	1	SIGLEC10	NM_001171156 NM_001171157 NM_001171158 NM_001171159 NM_001171160 NM_001171161 NM_001322105 NM_033130 NP_001164627 NP_001164628 NP_001164629 NP_001164630 NP_001164632 NP_001309034 NP_149121 XM_005259366 XM_005259367 XM_011527439 XP_005259423 XP_005259424 XP_011525741	inside exon	inside	6735	inside exon	0	10	10	3'UTR	-	7782	NA	89790	68466
1844	chr1	4714974	4714974	-0.067066067	0.067066067	1501	4615	4615	1	11	AJAP1	NM_001042478 NM_018836 NP_001035943 NP_061324 XM_011541786 XM_011541787 XP_011540088 XP_011540089	promoter	promoter	131	NA	NA	NA	6	NA	+	128746	NA	55966	46485
11243	chr8	49649640	49649640	-0.067062901	0.067062901	188936	226897	226897	1	1	EFCAB1	NM_001142857 NM_024593 NP_001136329 NP_078869 NR_024605 XM_005251303 XM_011517589 XM_011517590 XM_011517591 XM_017013826 XM_017013827 XM_017013828 XP_005251360 XP_011515891 XP_011515892 XP_011515893 XP_016869315 XP_016869316 XP_016869317	promoter	promoter	1770	NA	NA	NA	6	NA	-	11917	NA	79645	60809
705	chr17	7460690	7460690	0.06706138	0.06706138	82010	395390	395390	1	2	TNFSF12	NM_003809 NP_003800 NR_037146	inside exon	inside	8315	inside exon	0	8	8	inside transcription region	+	8832	NA	8742	67683
8637	chr5	2169769	2169769	-0.067052655	0.067052655	150163	129650	129650	1	7	IRX4	NM_001278632 NM_001278633 NM_001278634 NM_001278635 NM_016358 NP_001265561 NP_001265562 NP_001265563 NP_001265564 NP_057442	upstream	upstream	282476	NA	NA	NA	6	NA	-	9752	NA	50805	38694
8333	chr4	114238277	114238277	-0.067050396	0.067050396	146123	120567	120567	1	1	ANK2	NM_001127493 NM_001148 NM_001354225 NM_001354228 NM_001354230 NM_001354231 NM_001354232 NM_001354235 NM_001354236 NM_001354237 NM_001354239 NM_001354240 NM_001354241 NM_001354242 NM_001354243 NM_001354244 NM_001354245 NM_001354246 NM_001354249 NM_001354252 NM_001354253 NM_001354254 NM_001354255 NM_001354256 NM_001354257 NM_001354258 NM_001354260 NM_001354261 NM_001354262 NM_001354264 NM_001354265 NM_001354266 NM_001354267 NM_001354268 NM_001354269 NM_001354270 NM_001354271 NM_001354272 NM_001354273 NM_001354274 NM_001354275 NM_001354276 NM_001354277 NM_001354278 NM_001354279 NM_001354280 NM_001354281 NM_001354282 NM_020977 NP_001120965 NP_001139 NP_001341154 NP_001341157 NP_001341159 NP_001341160 NP_001341161 NP_001341164 NP_001341165 NP_001341166 NP_001341168 NP_001341169 NP_001341170 NP_001341171 NP_001341172 NP_001341173 NP_001341174 NP_001341175 NP_001341178 NP_001341181 NP_001341182 NP_001341183 NP_001341184 NP_001341185 NP_001341186 NP_001341187 NP_001341189 NP_001341190 NP_001341191 NP_001341193 NP_001341194 NP_001341195 NP_001341196 NP_001341197 NP_001341198 NP_001341199 NP_001341200 NP_001341201 NP_001341202 NP_001341203 NP_001341204 NP_001341205 NP_001341206 NP_001341207 NP_001341208 NP_001341209 NP_001341210 NP_001341211 NP_066187 XM_005262945 XM_017008067 XM_017008068 XM_017008069 XM_017008070 XM_017008071 XM_017008072 XM_017008073 XM_017008074 XM_017008075 XM_017008076 XM_017008077 XM_017008078 XM_017008079 XM_017008080 XM_017008081 XM_017008082 XM_017008083 XM_017008084 XM_017008085 XM_017008086 XM_017008087 XM_017008088 XM_017008089 XM_017008090 XM_017008091 XM_017008092 XM_017008093 XM_017008094 XM_017008095 XM_017008096 XM_017008097 XM_017008098 XM_017008099 XM_017008100 XM_017008101 XM_017008102 XM_017008103 XM_017008104 XM_017008105 XM_017008106 XM_017008107 XM_017008108 XM_017008109 XM_017008110 XM_017008111 XM_017008112 XP_005263002 XP_016863556 XP_016863557 XP_016863558 XP_016863559 XP_016863560 XP_016863561 XP_016863562 XP_016863563 XP_016863564 XP_016863565 XP_016863566 XP_016863567 XP_016863568 XP_016863569 XP_016863570 XP_016863571 XP_016863572 XP_016863573 XP_016863574 XP_016863575 XP_016863576 XP_016863577 XP_016863578 XP_016863579 XP_016863580 XP_016863581 XP_016863582 XP_016863583 XP_016863584 XP_016863585 XP_016863586 XP_016863587 XP_016863588 XP_016863589 XP_016863590 XP_016863591 XP_016863592 XP_016863593 XP_016863594 XP_016863595 XP_016863596 XP_016863597 XP_016863598 XP_016863599 XP_016863600 XP_016863601	inside intron	inside	24139	inside intron	585	5	24	inside transcription region	+	90758	NA	287	27333
6100	chr18	56937772	56937772	-0.067045632	0.067045632	92680	423262	423262	1	2	RAX	NM_013435 NP_038463	inside intron	inside	2853	inside intron	-1038	2	2	inside transcription region	-	6358	NA	30062	28532
11529	chr8	142986670	142986670	-0.067038166	0.067038166	193678	236350	236350	1	2	MIR4472-1	NR_039682	upstream	upstream	271030	NA	NA	NA	1	NA	+	79	NA	100616268	2891
11797	chr9	138630422	138630422	-0.067033794	0.067033794	199796	247542	247542	1	1	KCNT1	NM_001272003 NM_020822 NP_001258932 NP_065873 XM_011518877 XM_011518878 XM_011518879 XM_011518880 XM_011518881 XM_017014931 XM_017014932 XM_017014933 XP_011517179 XP_011517180 XP_011517181 XP_011517182 XP_011517183 XP_016870420 XP_016870421 XP_016870422	inside intron	inside	36391	inside intron	11521	3	32	5' UTR	+	90962	NA	57582	48947
6360	chr19	34116309	34116309	-0.067029423	0.067029423	98370	438320	438320	1	1	CHST8	NM_001127895 NM_001127896 NM_022467 NP_001121367 NP_001121368 NP_071912 XM_011527222 XM_011527224 XM_017027143 XP_011525524 XP_011525526 XP_016882632	inside intron	inside	3448	inside intron	-3106	1	4	5' UTR	+	151553	NA	64377	52750
